Connecting to /dev/serial/by-id/usb-ArduPilot_Pixhawk6X_49002D001551333034383239-if00 @ 57600...
HEARTBEAT received: 1, 0
t_ms,ch6,alt,roll,pitch,yaw
39334,1000,-0.744,-0.3,0.8,-4.5
39435,1000,-0.752,-0.3,0.8,-4.5
39537,1000,-0.758,-0.3,0.8,-4.5
39638,1000,-0.762,-0.3,0.8,-4.5
39740,1000,-0.76,-0.3,0.8,-4.5
39842,1000,-0.761,-0.3,0.8,-4.5
39943,1000,-0.76,-0.3,0.8,-4.5
40045,1000,-0.764,-0.3,0.8,-4.5
40146,1000,-0.766,-0.3,0.8,-4.5
40248,1000,-0.765,-0.3,0.8,-4.5
40329,1000,-0.764,-0.3,0.8,-4.5
40431,1000,-0.763,-0.3,0.8,-4.5
40532,1000,-0.759,-0.3,0.8,-4.5
40634,1000,-0.753,-0.3,0.8,-4.5
40735,1000,-0.744,-0.3,0.8,-4.5
40837,1000,-0.739,-0.3,0.8,-4.5
40938,1000,-0.733,-0.3,0.8,-4.5
41040,1000,-0.728,-0.3,0.8,-4.5
41141,1000,-0.725,-0.3,0.8,-4.5
41243,1000,-0.725,-0.3,0.8,-4.5
41345,1000,-0.723,-0.3,0.8,-4.5
41446,1000,-0.725,-0.3,0.8,-4.5
41548,1000,-0.726,-0.3,0.8,-4.5
41649,1000,-0.73,-0.3,0.8,-4.5
41730,1000,-0.732,-0.3,0.8,-4.5
41832,1000,-0.733,-0.3,0.8,-4.5
41933,1000,-0.73,-0.3,0.8,-4.5
42035,1000,-0.729,-0.3,0.8,-4.5
42136,1000,-0.727,-0.3,0.8,-4.5
42238,1000,-0.724,-0.3,0.8,-4.5
42339,1000,-0.723,-0.3,0.8,-4.5
42441,1000,-0.72,-0.3,0.8,-4.5
42542,1000,-0.718,-0.3,0.8,-4.5
42644,1000,-0.715,-0.3,0.8,-4.5
42745,1000,-0.712,-0.3,0.8,-4.5
42847,1000,-0.71,-0.3,0.8,-4.5
42949,1000,-0.707,-0.3,0.8,-4.5
43030,1000,-0.706,-0.3,0.8,-4.5
43132,1000,-0.704,-0.3,0.8,-4.5
43233,1000,-0.703,-0.3,0.8,-4.5
43335,1000,-0.701,-0.3,0.8,-4.5
43436,1000,-0.703,-0.3,0.8,-4.5
43538,1000,-0.707,-0.3,0.8,-4.5
43640,1000,-0.71,-0.3,0.8,-4.5
43741,1000,-0.711,-0.3,0.8,-4.5
43843,1000,-0.712,-0.3,0.8,-4.5
43944,1000,-0.711,-0.3,0.8,-4.5
44046,1000,-0.708,-0.3,0.8,-4.5
44147,1000,-0.707,-0.3,0.8,-4.5
44249,1000,-0.706,-0.3,0.8,-4.5
44330,1000,-0.707,-0.3,0.8,-4.5
44431,1000,-0.705,-0.3,0.8,-4.5
44533,1000,-0.703,-0.3,0.8,-4.5
44634,1000,-0.704,-0.3,0.8,-4.5
44736,1000,-0.705,-0.3,0.8,-4.5
44837,1000,-0.704,-0.3,0.8,-4.5
44939,1000,-0.7,-0.3,0.8,-4.5
45041,1000,-0.696,-0.3,0.8,-4.5
45142,1000,-0.693,-0.3,0.8,-4.5
45244,1000,-0.688,-0.3,0.8,-4.5
45345,1000,-0.682,-0.3,0.8,-4.5
45447,1000,-0.677,-0.3,0.8,-4.5
45548,1000,-0.667,-0.3,0.8,-4.5
45650,1000,-0.658,-0.3,0.8,-4.5
45731,1000,-0.651,-0.3,0.8,-4.5
45833,1000,-0.649,-0.3,0.8,-4.5
45934,1000,-0.646,-0.3,0.8,-4.5
46036,1000,-0.641,-0.3,0.8,-4.5
46138,2000,-0.636,-0.3,0.8,-4.5
Arming motors...
Armed
Takeoff to 2.5 m...
48547,2000,0.008,-0.3,0.8,-4.5
48609,2000,0.003,-0.3,0.8,-4.5
48670,2000,0.0,-0.3,0.8,-4.5
48732,2000,-0.003,-0.3,0.8,-4.5
48793,2000,-0.004,-0.3,0.8,-4.5
48855,2000,-0.006,-0.3,0.8,-4.5
48916,2000,-0.007,-0.3,0.8,-4.5
48978,2000,-0.009,-0.3,0.8,-4.5
49040,2000,-0.011,-0.3,0.8,-4.5
49102,2000,-0.011,-0.3,0.8,-4.5
49164,2000,-0.012,-0.3,0.8,-4.5
49225,2000,-0.011,-0.3,0.8,-4.5
49287,2000,-0.01,-0.3,0.8,-4.5
49348,2000,-0.008,-0.3,0.8,-4.5
49410,2000,-0.008,-0.3,0.8,-4.5
49472,2000,-0.003,-0.3,0.8,-4.5
49534,2000,0.0,-0.3,0.8,-4.5
49595,2000,0.002,-0.3,0.8,-4.5
49657,2000,0.004,-0.3,0.8,-4.6
49718,2000,0.006,-0.3,0.8,-4.6
49780,2000,0.006,-0.3,0.8,-4.6
49842,2000,0.006,-0.3,0.8,-4.6
49904,2000,0.005,-0.3,0.8,-4.6
49965,2000,0.005,-0.2,0.7,-4.5
50027,2000,0.003,-0.2,0.8,-4.5
50089,2000,0.0,-0.2,0.7,-4.6
50150,2000,-0.005,-0.0,0.6,-4.5
50212,2000,-0.01,0.0,0.6,-4.2
50274,2000,-0.012,0.6,0.9,-3.5
50335,2000,-0.01,1.1,1.9,-2.0
50397,2000,0.0,1.6,2.0,-0.2
50459,2000,0.016,1.5,2.5,1.7
50521,2000,0.042,0.1,2.4,3.6
50582,2000,0.08,-1.4,2.3,5.4
50644,2000,0.129,-1.8,1.8,7.1
50706,2000,0.192,-1.3,1.9,9.0
50767,2000,0.266,-0.9,1.8,10.8
50829,2000,0.348,-0.6,1.2,12.3
50890,2000,0.442,-0.8,0.6,13.5
50972,2000,0.546,-1.7,0.6,14.3
51054,2000,0.668,-2.2,0.5,14.6
[FCU] EKF3 IMU1 MAG0 ground mag anomaly, yaw re-aligned
[FCU] EKF3 IMU0 MAG0 ground mag anomaly, yaw re-aligned
51157,2000,0.798,-2.5,-0.0,-21.5
51259,2000,0.938,-2.3,-0.8,-21.9
51361,2000,1.089,-1.8,-1.2,-22.3
51463,2000,1.24,-1.6,-0.8,-22.6
51565,2000,1.385,-1.6,-0.4,-22.9
51668,2000,1.52,-1.6,0.2,-23.3
51770,2000,1.641,-1.3,0.7,-23.7
51856,2000,1.753,-0.6,1.2,-24.2
51958,1000,1.852,-0.9,1.6,-24.8
52061,1000,1.945,-1.4,2.2,-25.8
52163,1000,2.029,-2.3,2.4,-27.1
52265,1000,2.107,-3.1,2.3,-28.5
52367,1000,2.181,-3.2,2.3,-29.9
52469,1000,2.251,-3.2,2.4,-31.1
52571,1000,2.317,-2.9,2.8,-32.2
52653,1000,2.376,-2.8,3.0,-33.2
54999,1000,2.426,-2.7,3.2,-33.9
55063,1000,2.468,-2.5,3.7,-34.2
55127,1000,2.504,-2.1,4.0,-34.3
55191,1000,2.529,-1.9,4.4,-34.2
[FCU] EKF3 IMU0 MAG0 in-flight yaw alignment complete
55276,1000,2.546,-1.3,4.6,-25.3
[FCU] EKF3 IMU1 MAG0 in-flight yaw alignment complete
55362,1000,2.554,-0.0,5.0,-17.2
55426,1000,2.549,1.1,5.1,-8.4
55489,1000,2.54,1.9,4.8,-3.8
55552,1000,2.524,2.2,4.3,-3.7
55616,1000,2.504,2.0,3.8,-5.8
55678,1000,2.484,1.6,3.3,-8.4
55741,1000,2.465,1.5,3.1,-10.8
55804,1000,2.447,1.4,3.1,-13.2
55867,1000,2.431,1.4,3.1,-15.5
55929,1000,2.419,1.2,3.3,-18.0
55992,1000,2.411,1.1,3.2,-20.1
56055,1000,2.406,1.0,3.0,-22.5
56117,1000,2.405,0.8,3.0,-24.6
56180,1000,2.407,0.7,3.0,-26.3
56243,1000,2.412,0.4,2.6,-27.7
56306,1000,2.415,0.2,2.0,-29.0
56369,1000,2.423,-0.1,1.8,-30.2
56431,1000,2.434,-0.3,1.6,-30.9
56495,1000,2.446,-0.3,1.4,-31.4
